"","RF.id","RF.FScore","RF.IoU","UNet.id","UNet.FScore","UNet.Iou"
"28",50,0.124015053510526,0.0661066357395856,53,0.349671941335392,0.268842729970326
"29",53,0.13690787161378,0.0736695836370785,62,0.461988658806258,0.30369893771568
"13",51,0.1725668080071,0.0944312540470537,24,0.49404007101192,0.328056584708656
"11",49,0.226580516500263,0.128012539882432,60,0.499192329385223,0.33440984830667
"4",29,0.277240634015301,0.160945942784732,40,0.507156086883314,0.339724791337695
"27",48,0.299046626908648,0.176469064319532,28,0.52602137668177,0.367090242514173
"14",52,0.325443971641299,0.195430732390089,25,0.532940546331012,0.363271266885725
"47",65,0.328694107195736,0.196669029057406,29,0.570267537206089,0.398896283562077
"3",28,0.342633342272938,0.206830717858007,52,0.574116739196063,0.410275067337692
"59",38,0.345519713261649,0.208838821490468,48,0.574629894566603,0.403195399651717
"18",63,0.39426971232845,0.246756513926325,38,0.578728290512416,0.40719046657241
"39",24,0.42575684766939,0.27045177045177,13,0.582197273456295,0.410633484162896
"17",60,0.433244487521202,0.276523352922982,61,0.586610503073915,0.415277517033938
"49",12,0.536868635677369,0.367922771886894,50,0.59137417432975,0.419823464509011
"50",13,0.56037049288786,0.389246323529412,9,0.592694195784002,0.42115522724941
"54",9,0.567535388278873,0.396195049870706,27,0.593878389910446,0.424622791318211
"38",2,0.568685865607415,0.39731729879741,36,0.619792803167218,0.450308718604944
"33",62,0.576101143722958,0.404734551364261,51,0.640283939662822,0.470895327590707
"44",46,0.609523104636685,0.44060197243928,17,0.649778986739204,0.481238982624024
"46",61,0.610964738332935,0.442962041186758,63,0.663837412168908,0.496849547975099
"52",17,0.611646531831139,0.440555338287055,49,0.666136509164638,0.5019923720304
"26",40,0.612781117791138,0.441733547351525,37,0.673950826773628,0.508777865538322
"2",27,0.63333586974559,0.4634601652647,15,0.67553865652725,0.510047846889952
"55",15,0.633906633906634,0.464028776978417,14,0.6806267628882,0.516587546390223
"51",14,0.65275070234932,0.484594580518061,64,0.69364654336095,0.531080628178811
"37",11,0.656104011634621,0.488246917307285,65,0.700338367582735,0.538862077724155
"5",31,0.66374695863747,0.496722505462491,46,0.710481492771924,0.551973474098558
"58",25,0.667113643982568,0.500503018108652,11,0.731768770831995,0.577452884441352
"24",36,0.67323666245587,0.507621845191222,12,0.741860308793752,0.590523894958537
"16",57,0.698501872659176,0.536690647482014,26,0.744763066910718,0.593324692158134
"25",37,0.702984715398456,0.542059493319196,33,0.766154737757172,0.62094880225458
"40",26,0.71286656982304,0.554293918837316,8,0.814969702547342,0.689399956686679
"34",64,0.715952863667442,0.557679661099864,55,0.825156404346394,0.702354260089686
"42",33,0.727983168019237,0.572306238185255,47,0.827018475465362,0.705430746024089
"36",1,0.748012232415902,0.597459697117733,32,0.829721477923559,0.709104721142642
"45",47,0.75234211690993,0.603012438655514,30,0.832730191192157,0.713420579675156
"12",5,0.770721986564637,0.627124497707808,35,0.833183660294566,0.71410466182416
"41",30,0.815331192202508,0.688248661965848,34,0.833928081251716,0.715160075329567
"31",55,0.833720544307999,0.714854866249289,45,0.835901595025683,0.718067812354854
"9",43,0.835920177383592,0.718095238095238,54,0.837396293504185,0.720684761864668
"10",44,0.836137786603688,0.718423546385948,43,0.839057239057239,0.722737819025522
"19",66,0.844599420189467,0.731010711559287,66,0.841932268792556,0.727380712441595
"56",20,0.844993968636912,0.731592689295039,58,0.843772647549234,0.729818599625352
"6",32,0.845061476621104,0.731701266035308,3,0.843954734961286,0.730036063884596
"8",35,0.848333181086317,0.73666380106891,68,0.845585648962364,0.732480195003047
"32",58,0.857950446366671,0.75125576691082,44,0.85325959315886,0.744370087589782
"15",56,0.861145415105292,0.756150460820467,20,0.861282367447596,0.756361667569031
"23",3,0.861379754996776,0.756511891279728,7,0.862089055841197,0.757637674838524
"7",34,0.861436729786594,0.756599788806758,2,0.862654765332565,0.758481012658228
"30",54,0.867424347278055,0.765945850729401,70,0.867828434038877,0.766717362720598
"35",68,0.868317186939361,0.767279644895371,69,0.868409138330833,0.767443671823357
"22",8,0.870321329656349,0.770884969156202,1,0.870676691729323,0.770972037283622
"57",21,0.870533099004101,0.770746887966805,71,0.871621139029467,0.772524687879864
"43",45,0.873399715504979,0.775252525252525,31,0.87284255019373,0.774375
"20",70,0.875335913757348,0.778309584256637,56,0.873162551332561,0.7754099753538
"21",71,0.878852456752048,0.783934065934066,21,0.875662934590454,0.778825995807128
"48",69,0.879934044366512,0.785626789485391,23,0.887107548430194,0.797118847539016
"1",23,0.893404397068621,0.807344972907887,57,0.894874476987448,0.809749171793658
"60",6,0.895100864553314,0.810119979134064,5,0.898176305932064,0.815686369888335
"53",7,0.895622444550428,0.81097539543058,6,0.908192911098199,0.831825439063332
