score_run1,image_run1,score_run2,image_run2,score_run3,image_run3,score_run4,image_run4,score_run5,image_run5
0.8073449729078868,23,0.46904671477402204,27,0.5974596971177333,1,0.331094642581442,12,0.4808759124087591,11
0.46904671477402204,27,0.21304953252436842,28,0.49561792220580997,11,0.38924632352941174,13,0.4047509011923468,12
0.21304953252436842,28,0.7565118912797282,3,0.3973172987974098,2,0.49604612850082375,14,0.4731430325352977,14
0.1564126109580655,29,0.7276395427034297,32,0.27045177045177043,24,0.4405553382870551,17,0.46402877697841727,15
0.4967225054624909,31,0.7275902211874272,35,0.5277456647398844,26,0.5808421729347477,26,0.7315926892950392,20
0.7363321799307958,32,0.5357605177993527,36,0.18817427385892116,28,0.21304953252436842,28,0.770746887966805,21
0.7565997888067582,34,0.532633371169126,37,0.16547927461139897,29,0.7311320754716981,32,0.5005030181086519,25
0.7328339575530587,35,0.44173354735152487,40,0.6835443037974683,30,0.7495672244662435,35,0.4522870662460568,27
0.7180952380952381,43,0.7213035019455253,44,0.5723062381852552,33,0.5028706020903871,36,0.6929530201342282,30
0.7135214007782101,44,0.14864864864864866,48,0.5027225901398087,36,0.6067898581865062,47,0.4891336707353379,36
0.1495591415737814,49,0.10873845884566578,49,0.5514856154692659,37,0.20428947999041458,48,0.20883882149046792,38
0.6480117820324006,5,0.06610663573958563,50,0.7752525252525253,45,0.12574001922785003,49,0.7204457364341085,44
0.09443125404705374,51,0.1497888548480583,52,0.3837129054520359,46,0.6097560975609756,5,0.4974910394265233,46
0.1989494418910046,52,0.0595621589639077,53,0.5992350191245219,47,0.0877770083102493,53,0.6236056135300467,5
0.7562296858071506,56,0.7557039510294936,54,0.7455990914253265,58,0.27652335292298175,60,0.23755390043120345,52
0.5366906474820143,57,0.7148548662492885,55,0.34972677595628415,61,0.4879725085910653,61,0.7761877504293074,54
0.27652335292298175,60,0.7560712358337831,56,0.3967065868263473,62,0.3929531203344282,62,0.8101199791340636,6
0.20779874213836477,63,0.7569124423963134,58,0.2857142857142857,63,0.5704345356432832,64,0.491186839012926,61
0.7336814621409922,66,0.42454394693200664,62,0.1966690290574061,65,0.7296181630546955,66,0.7296737441740031,66
0.7771010962241169,70,0.5449247865564439,64,0.7251282051282051,66,0.81,7,0.79124175164967,69
0.7931428571428571,71,0.7369519832985386,66,0.7800118273211117,69,0.7795180722891566,70,0.81195079086116,7
0.7997356245869134,8,0.7672796448953709,68,0.7747252747252747,71,0.3961950498707056,9,0.7420343137254902,8
