score_run1,image_run1,score_run2,image_run2,score_run3,image_run3,score_run4,image_run4,score_run5,image_run5
0.8871075484301937,23,0.5165922144224633,27,0.8706766917293233,1,0.7713748290013679,12,0.7102677566939173,11
0.6509234828496042,27,0.2940607467595279,28,0.7532697849700732,11,0.5821972734562951,13,0.7123457885861365,12
0.5992759676970203,28,0.8439547349612865,3,0.8626547653325655,2,0.6519539239961244,14,0.7092996017802764,14
0.5633051976899156,29,0.8229048160788774,32,0.4940400710119198,24,0.6497789867392043,17,0.6755386565272496,15
0.8728425501937302,31,0.8281437125748503,35,0.7447630669107179,26,0.7447630669107179,26,0.8612823674475956,20
0.8429499426824609,32,0.5496344747979993,36,0.6053743961352657,28,0.6053743961352657,28,0.8756629345904536,21
0.8339280812517157,34,0.6489066296424852,37,0.5772298767222624,29,0.8233096750093388,32,0.5329405463310123,25
0.830498177399757,35,0.5071560868833137,40,0.828677213059576,30,0.8409090909090909,35,0.6141194724592708,27
0.839057239057239,43,0.8320545609548168,44,0.7661547377571718,33,0.6513409961685824,36,0.836783169324737,30
0.8647385334501899,44,0.5832278481012658,48,0.6315335704278479,36,0.8096468561584841,47,0.6466621712744437,36
0.7194165405256638,49,0.5887198261068527,49,0.6989950239047712,37,0.566031941031941,48,0.5787282905124157,38
0.9242135367016207,5,0.59137417432975,50,0.8359015950256827,45,0.6902731608613961,49,0.8629856850715746,44
0.6402839396628216,51,0.4307046196920205,52,0.6776345042240995,46,0.8841860465116278,5,0.7433284813197477,46
0.6060931899641577,52,0.6993438826707834,53,0.8443900947722409,47,0.0,53,0.886129334582943,5
0.8926517571884984,56,0.8194912657064052,54,0.8502916396629943,58,0.44416243654822335,60,0.6855524079320113,52
0.8948744769874476,57,0.8251564043463945,55,0.5872008903728436,61,0.608829812485165,61,0.8553013213019658,54
0.5542222222222223,60,0.8536733454766242,56,0.5253842571029342,62,0.509883426254435,62,0.9081929110981988,6
0.6582987784377451,63,0.8372536554354736,58,0.6693760459000717,63,0.6830151117545924,64,0.5638008063637354,61
0.8454987834549879,66,0.3506982930614055,62,0.7003383675827349,65,0.8411270983213429,66,0.8637484586929717,66
0.8798938287989383,70,0.7042779749673082,64,0.8475836431226766,66,0.8573189522342064,7,0.872255489021956,69
0.8645121193287756,71,0.8117033603707995,66,0.8645627876397106,69,0.8557630392788151,70,0.8668591594481874,7
0.7776068901876346,8,0.8455856489623637,68,0.8787301587301587,71,0.5926941957840024,9,0.8523325149070502,8
